title,price,location_date,link
Mam do sprzedania laptop za 120 zł,120,Pruszcz Gdański - 01 czerwca 2025,https://www.olx.pl/d/oferta/mam-do-sprzedania-laptop-za-120-zl-CID99-ID1649cl.html
Laptop dotykowy 2w1 Lenovo Yoga 300,120,Rogoźnik - 09 czerwca 2025,https://www.olx.pl/d/oferta/laptop-dotykowy-2w1-lenovo-yoga-300-CID99-ID15KLRp.html
Ladowarka adapter do laptopa lenovo,129,Poręba - 22 czerwca 2025,https://www.olx.pl/d/oferta/ladowarka-adapter-do-laptopa-lenovo-CID99-ID146OX3.html
Laptop Lenovo ThinkPad i5 2GB + 2 Zasilacze,139,Kielce - 15 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-i5-2gb-2-zasilacze-CID99-ID16eVdB.html
Laptop Lenovo U310,140,Boruja Kościelna - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-u310-CID99-ID16iYEL.html
Laptop Lenovo U310,140,Boruja Kościelna - 19 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-u310-CID99-ID16iYEL.html
Laptop Lenovo G50-30,149,Pszów - 02 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-g50-30-CID99-ID14G7GB.html
Mały Laptop 11 cali dysk ssd netflix hdmi bateria,149,"Gliwice, Kopernika - Odświeżono dnia 17 czerwca 2025",https://www.olx.pl/d/oferta/maly-laptop-11-cali-dysk-ssd-netflix-hdmi-bateria-CID99-ID16bqag.html
Laptop Lenovo IdeaPad C340-14API,150,"Kraków, Krowodrza - 24 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-c340-14api-CID99-ID16mJTC.html
"Laptop Lenovo 15"" Ideapad P580",150,Kielce - 23 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-15-ideapad-p580-CID99-ID15TomJ.html
Używany laptop Lenovo,150,Bielsko-Biała - 20 czerwca 2025,https://www.olx.pl/d/oferta/uzywany-laptop-lenovo-CID99-ID16jtkD.html
Laptop Lenovo czarny,150,Tarnowskie Góry - 14 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-czarny-CID99-ID16eIFk.html
"Laptop Lenovo Ideapad 110 Celeron, dysk HDD",150,"Warszawa, Bemowo - 02 czerwca 2025",https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-110-celeron-dysk-hdd-CID99-ID15gBpX.html
"Laptop Lenovo 15"" Ideapad P580",150,Kielce - 23 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-15-ideapad-p580-CID99-ID15TomJ.html
Używany laptop Lenovo,150,Bielsko-Biała - 20 czerwca 2025,https://www.olx.pl/d/oferta/uzywany-laptop-lenovo-CID99-ID16jtkD.html
Laptop Lenovo czarny,150,Tarnowskie Góry - 14 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-czarny-CID99-ID16eIFk.html
Laptop Lenovo 4gb ram,150,Sępólno Krajeńskie - 24 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-4gb-ram-CID99-ID16mq6U.html
Laptop lenovo lenovo,150,Zamość - 02 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-lenovo-CID99-ID15eSrf.html
Laptop Lenovo Ideapad 100S,150,Pszczyna - 16 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-ideapad-100s-CID99-ID13Z2a1.html
Lenovo ThinkPad L440 i5 4300/4GB/500/DVD-RW/Win10 Uszk. klawiatura,150,"Warszawa, Wola - 02 czerwca 2025",https://www.olx.pl/d/oferta/lenovo-thinkpad-l440-i5-4300-4gb-500-dvd-rw-win10-uszk-klawiatura-CID99-IDYxpC3.html
Laptop Lenovo ThinkPad 11e,150,Zgierz - 26 czerwca 2025,https://www.olx.pl/d/oferta/laptop-lenovo-thinkpad-11e-CID99-ID160tVr.html
